OBJECT_ID,Name of Museum or HC,Add1,Add2,Add3,County,Postcode
543,Coast Guard Cultural Centre,Tramore Coast Guard Station,Love Lane,Tramore,Waterford,
544,The Kilbeggan Distilery Experience,Lower Main Street,,Kilbeggan,Westmeath,
545,The Ecclesiastical museum,Cathedral of Christ the King,Cathedral House,Mullingar,Westmeath,
546,Dún na Sí Amenity and Heritage Park,,,Moate,Westmeath,
547,Moate Museum,The Bridewell,,Moate,Westmeath,
548,Military Museum,Custume Barracks,,Athlone,Westmeath,
549,Tullynally Castle and Gardens,Tullynally Castle,,Castlepollard,Westmeath,
550,Belvedere House Gardens & Park,,,Mullingar,Westmeath,
551,Athlone Castle ,Castle Street,,Athlone,Westmeath,
552,Westmeath Local Studies and Archives,Library Headquarters,Mount Street,Mullingar,Westmeath,
553,Riverside Farm Museum,Clonava,,Castlepollard,Westmeath,
554,Duncannon Fort,Duncannon,,New Ross,Wexford,
555,The Irish National Heritage Park,,,Ferrycarrig,Wexford,
556,Enniscorthy Castle,Castle Hill,,Enniscorthy,Wexford,
557,Irish Agricultural Museum,Johnstown Castle Estate,,Johnstown Castle,Wexford,
558,Hook Lighthouse & Heritage Centre,Churchtown,,The Hook,Wexford,
559,The Kennedy Homestead,Dunganstown,,New Ross,Wexford,
560,National 1798 Rebellion Centre,Arnold's Cross,Mill Park Road,Enniscorthy,Wexford,
561,Ballymore Historic Features,Ballymore,,Camolin,Wexford,
562,Dunbrody Abbey Visitor Centre,,,New Ross,Wexford,
563,Dunbrody Famine Ship,,,New Ross,Wexford,
564,Fr Murphy Centre,Tomnaboley,Boolavogue,Ferns,Wexford,
565,Wexford County Archive,Unit 6A Ardcavan Business Park,,Ardcavan,Wexford,
566,"Newtownbarry House, Gardens & Gallery",,,Bunclody,Wexford,
567,Rosslare Harbour Maritime Heritage Centre,,Ballygillane,Rosslare Harbour,Wexford,
568,Altidore Castle,,,Kilpedder,Wicklow,
569,Tom Barrington History Room,Ballywaltrim Library,Boghall Road,Bray,Wicklow,
570,Maritime Museum Arklow,Bridgewater Centre,North Quay,Arklow,Wicklow,
571,Baltinglass Library,Market Square,,Baltinglass,Wicklow,
572,Greenan Farm Museums and Maze,Ballinanty,Greenan,Rathdrum,Wicklow,
573,Dwyer McAllister Cottage,Derrynamuck,Knockanarrigan,Glen of Imaal,Wicklow,
574,Russborough House,Russborough,,Blessington,Wicklow,
575,Avondale House and Forest Park,,,Rathdrum,Wicklow,
576,Glencree Visitor Centre,Glencree Centre for Reconciliation,,Glencree,Wicklow,
577,Glendalough Visitor Centre,Glendalough,,Laragh,Wicklow,
578,Wicklow Mountains National Park Information Office,Upper Lake,,Glendalough,Wicklow,
579,Kilruddery House and Gardens,Southern Cross,,Bray,Wicklow,
580,Powerscourt House and Gardens,Powerscourt Estate,,Bray,Wicklow,
581,Wicklow's Historic Gaol 1710-1924,Kilmantin Hill,,Wicklow,Wicklow,
582,Tara's Palace Museum of Childhood,Powerscourt house,,Enniskerry,Wicklow,
583,Coolakay House Farm Museum,Powerscourt Waterfall Road,,Enniskerry,Wicklow,
584,National Sealife Aquarium,The Promenade,,Bray,Wicklow,
585,Ballymurrin Quaker Farmstead,,,Kilbride,Wicklow,
586,National Botanic Gardens - Kilmacurragh,,,Kilmacurragh,Wicklow,
